"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"220",220,"Kirsten Rausing",8.9,70,"Sweden","Packaging","Food & Beverage","Sweden",NA
"221",223,"Tatyana Bakalchuk",8.8,47,"Russia","Ecommerce","Fashion & Retail","Russia","Bachelor of Science, State University of Management"
"222",223,"John Doerr",8.8,71,"United States","Venture capital","Technology","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University"
"223",223,"Richard Liu",8.8,49,"China","E-commerce","Technology","China","Bachelor of Arts/Science, Renmin University of China"
"224",223,"Dustin Moskovitz",8.8,38,"United States","Facebook","Technology","United States","Drop Out, Harvard University"
"225",223,"Pierre Omidyar",8.8,55,"United States","EBay, PayPal","Technology","United States","Bachelor of Arts/Science, Tufts University"
"226",223,"Pei Zhenhua",8.8,64,"China","Batteries","Energy","China",NA
"227",223,"Carrie Perrodo & family",8.8,72,"France","Oil","Energy","France",NA
"228",230,"Chen Jianhua",8.7,52,"China","Chemicals","Manufacturing","China","Bachelor of Arts/Science, Nanjing Normal University"
"229",230,"Michael Otto",8.7,79,"Germany","Retail, real estate","Fashion & Retail","Germany","Doctorate, University of Hamburg; Doctorate, University of Munich"
"230",232,"Leon Black",8.6,71,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
"231",232,"Graeme Hart",8.6,67,"New Zealand","Investments","Finance & Investments","New Zealand",NA
"232",232,"Ravi Jaipuria",8.6,68,"India","Soft drinks, fast food","Food & Beverage","India",NA
"233",232,"Hasso Plattner & family",8.6,79,"Germany","Software","Technology","Germany","Master of Science, University of Karlsruhe"
"234",232,"Carlos Alberto Sicupira & family",8.6,75,"Brazil","Beer","Food & Beverage","Brazil","Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
"235",232,"Manuel Villar",8.6,73,"Philippines","Real estate","Real Estate","Philippines",NA
"236",232,"Andreas von Bechtolsheim & family",8.6,67,"Germany","Google","Technology","Germany","Master of Science, Carnegie Mellon University"
"237",239,"Chase Coleman, III.",8.5,47,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Williams College"
"238",239,"Ann Walton Kroenke",8.5,74,"United States","Walmart","Fashion & Retail","United States","Registered Nurse, Lincoln University"
"239",239,"Li Zhenguo & family",8.5,55,"China","Solar wafers and modules","Manufacturing","China",NA
"240",242,"Jim Kennedy",8.4,75,"United States","Media, automotive","Media & Entertainment","United States","Bachelor of Arts/Science, University of Denver"
"241",242,"Nicky Oppenheimer & family",8.4,77,"South Africa","Diamonds","Metals & Mining","South Africa","Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church"
"242",242,"Blair Parry-Okeden",8.4,72,"United States","Media, automotive","Media & Entertainment","United States","Diploma, High School; Bachelor of Arts/Science, University of Denver"
"243",242,"Zheng Shuliang & family",8.4,77,"China","Aluminum products","Metals & Mining","China",NA
"244",246,"John Morris",8.3,75,"United States","Sporting goods retail","Fashion & Retail","United States","Bachelor of Arts/Science, Drury University"
"245",246,"Stefano Pessina",8.3,81,"Monaco","Drugstores","Fashion & Retail","Monaco","Bachelor of Engineering, Politecnico di Milano"
"246",249,"Francis Choi",8.2,75,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"247",249,"German Khan",8.2,61,"Russia","Oil, banking, telecom","Energy","Russia","Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"
"248",249,"Abdulsamad Rabiu",8.2,62,"Nigeria","Cement, sugar","Diversified","Nigeria",NA
"249",249,"George Roberts",8.2,79,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings"
"250",249,"Kushal Pal Singh",8.2,91,"India","Real estate","Real Estate","India","Bachelor of Arts/Science, Delhi University"
"251",249,"Wang Jianlin",8.2,68,"China","Real estate","Real Estate","China","Liaoning University"
"252",249,"Yang Huiyan & family",8.2,41,"China","Real estate","Real Estate","China","Bachelor of Arts/Science, Ohio State University"
"253",256,"Laurent Dassault",8.1,69,"France","Diversified","Diversified","France","Associate in Arts/Science, Ecole Superieure Libre Des Sciences Commerciales Appliquees"
"254",256,"Thierry Dassault",8.1,66,"France","Diversified","Diversified","France",NA
"255",256,"Tilman Fertitta",8.1,65,"United States","Houston Rockets, entertainment","Food & Beverage","United States","Drop Out, Texas Tech University; Drop Out, University of Houston"
"256",256,"Marie-Hélène Habert-Dassault",8.1,58,"France","Diversified","Diversified","France","Master, Sciences Po"
"257",256,"Karel Komarek",8.1,54,"Czech Republic","Oil and gas, IT, lotteries","Gambling & Casinos","Czech Republic","Diploma, Hahnemann Medical College"
"258",261,"Nathan Blecharczyk",8,39,"United States","Airbnb","Technology","United States","Bachelor of Arts/Science, Harvard University"
"259",261,"Leonid Fedun",8,66,"Russia","Oil","Energy","Russia","Master of Science, Military Academy F.E.Dzerzhinsky"
"260",261,"Bernard Marcus",8,93,"United States","Home Depot","Fashion & Retail","United States","Bachelor of Arts/Science, Rutgers University"
"261",261,"Patrick Ryan",8,85,"United States","Insurance","Finance & Investments","United States","Bachelor of Arts/Science, Northwestern University"
"262",261,"Robert F. Smith",8,60,"United States","Private equity","Finance & Investments","United States","Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University"
"263",261,"Pavel Tykac",8,58,"Czech Republic","Coal mines","Metals & Mining","Czech Republic","Master, Czech Technical University, Prague"
"264",261,"Eric Wittouck",8,76,"Belgium","Investments","Finance & Investments","Belgium",NA
"265",268,"Orlando Bravo",7.9,52,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University"
"266",268,"Ding Shizhong & family",7.9,52,"China","Sports apparel","Fashion & Retail","China","EMBA, Xiamen University"
"267",268,"Nancy Walton Laurie",7.9,71,"United States","Walmart","Fashion & Retail","United States","Bachelor of Arts/Science, University of Memphis"
"268",268,"Jay Y. Lee",7.9,54,"South Korea","Samsung","Technology","South Korea","Master of Business Administration, Keio University; Bachelor of Arts/Science, Seoul National University"
"269",268,"Ramzi Musallam",7.9,54,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Colgate University; Master of Business Administration, University of Chicago Booth School of Business"
"270",268,"David Shaw",7.9,72,"United States","Hedge funds","Finance & Investments","United States","Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego"
"271",268,"Andrei Skoch & family",7.9,57,"Russia","Metals and mining","Metals & Mining","Russia","State Central Institute of Physical Culture"
"272",268,"Georg Stumpf",7.9,50,"Austria","Real estate, construction","Diversified","Austria",NA
"273",276,"Rocco Commisso",7.8,73,"United States","Telecom","Telecom","United States","Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University"
"274",276,"Li Shuirong",7.8,66,"China","Petrochemicals","Manufacturing","China",NA
"275",276,"Lin Shu-hong",7.8,94,"Taiwan","Petrochemicals","Manufacturing","Taiwan","National Taipei University of Technology"
"276",276,"Qi Shi & family",7.8,53,"China","Financial information","Technology","China","EMBA, Fudan University; Bachelor of Arts/Science, Shanghai Jiaotong University"
"277",276,"Yao Liangsong",7.8,58,"China","Furniture","Manufacturing","China",NA
"278",276,"Zhang Congyuan",7.8,75,"Taiwan","Shoes","Fashion & Retail","Taiwan",NA
"279",282,"Jean-Michel Besnier",7.7,55,"France","Cheese","Food & Beverage","France",NA
"280",282,"Marie Besnier Beauvalot",7.7,42,"France","Cheese","Food & Beverage","France",NA
"281",282,"David Geffen",7.7,80,"United States","Movies, record labels","Media & Entertainment","United States","Drop Out, The University of Texas at Austin"
"282",282,"Robin Li",7.7,54,"China","Internet search","Technology","China","Bachelor of Arts/Science, Peking University; Master of Arts, University at Buffalo"
"283",282,"Liu Yonghao & family",7.7,71,"China","Agribusiness","Service","China",NA
"284",282,"Henry Samueli",7.7,68,"United States","Semiconductors","Technology","United States","Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
"285",282,"Reinhold Schmieding",7.7,68,"United States","Medical devices","Healthcare","United States","Bachelor of Arts/Science, Michigan State University"
"286",282,"Ivar Tollefsen",7.7,61,"Norway","Real estate","Real Estate","Norway",NA
"287",290,"Cao Renxian",7.6,54,"China","Photovoltaic equipment","Energy","China",NA
"288",290,"Hasmukh Chudgar & family",7.6,89,"India","Pharmaceuticals","Healthcare","India",NA
"289",290,"Andrew Currie",7.6,67,"United Kingdom","Chemicals","Manufacturing","United Kingdom","Bachelor of Arts/Science, Cambridge University"
"290",290,"Joe Gebbia",7.6,41,"United States","Airbnb","Technology","United States","Bachelor of Arts/Science, Rhode Island School of Design"
"291",290,"Philip Ng",7.6,64,"Singapore","Real Estate","Real Estate","Singapore","Bachelor of Science in Engineering, Kings College London; Masters of Science in Technology, Massachusetts Institute of Technology (MIT)"
"292",290,"John Reece",7.6,66,"United Kingdom","Chemicals","Manufacturing","United Kingdom","Bachelor of Arts/Science, Cambridge University"
"293",290,"Leonard Stern",7.6,85,"United States","Real estate","Real Estate","United States","Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
"294",290,"Joseph Tsai",7.6,59,"Canada","E-commerce","Technology","Canada","Bachelor of Arts/Science, Yale University; Doctor of Jurisprudence, Yale University"
"295",290,"Zhong Huijuan",7.6,62,"China","Pharmaceuticals","Healthcare","China","Bachelor of Science, Jiangsu Normal University; EMBA, Nanjing University"
"296",299,"Arthur Blank",7.5,80,"United States","Home Depot","Sports","United States","Bachelor of Arts/Science, Babson College"
"297",299,"Charles Butt",7.5,85,"United States","Supermarkets","Fashion & Retail","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"298",299,"Ding Shijia",7.5,59,"China","Sports apparel","Fashion & Retail","China",NA
"299",299,"Paul Tudor Jones, II.",7.5,68,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, University of Virginia"
"300",299,"Henry Kravis",7.5,79,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School"
"301",299,"Zhang Yong",7.5,52,"Singapore","Restaurants","Food & Beverage","Singapore",NA
"302",305,"James Goodnight",7.4,80,"United States","Software","Technology","United States","Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University"
"303",305,"Sri Prakash Lohia",7.4,70,"Indonesia","Petrochemicals","Manufacturing","Indonesia","Bachelor of Arts/Science, Delhi University"
"304",305,"Ma Jianrong & family",7.4,59,"China","Textiles, apparel","Fashion & Retail","China",NA
"305",305,"Robert Ng",7.4,71,"Singapore","Real estate","Real Estate","Singapore","Law Degree, Middle Temple"
"306",305,"Steven Rales",7.4,72,"United States","Manufacturing, investments","Manufacturing","United States","Law Degree, American University; Bachelor of Arts/Science, DePauw University"
"307",305,"Nassef Sawiris",7.4,62,"Egypt","Construction, investments","Construction & Engineering","Egypt","Bachelor of Arts/Science, University of Chicago"
"308",305,"Harry Stine",7.4,81,"United States","Agriculture","Food & Beverage","United States",NA
"309",312,"Benu Gopal Bangur",7.3,91,"India","Cement","Manufacturing","India","Bachelor of Arts/Science, Calcutta University"
"310",312,"Iskander Makhmudov",7.3,59,"Russia","Mining, metals, machinery","Metals & Mining","Russia","Master of Arts/Science, Tashkent State University"
"311",312,"Anders Holch Povlsen",7.3,50,"Denmark","Fashion retail","Fashion & Retail","Denmark",NA
"312",312,"Enrique Razon Jr.",7.3,63,"Philippines","Ports","Logistics","Philippines",NA
"313",312,"Wang Laichun",7.3,55,"China","Electronics components","Technology","China","EMBA, Tsinghua University"
"314",317,"Arthur Dantchik",7.2,65,"United States","Trading, investments","Finance & Investments","United States","Bachelor of Science, SUNY Binghamton"
"315",317,"Terry Gou",7.2,72,"Taiwan","Electronics","Technology","Taiwan","Taipei University of Marine Technology"
"316",317,"Jeff Greene",7.2,68,"United States","Real estate, investments","Real Estate","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University"
"317",317,"Don Hankey",7.2,79,"United States","Auto loans","Finance & Investments","United States","Bachelor of Arts/Science, University of Southern California"
"318",317,"Richard Kinder",7.2,78,"United States","Pipelines","Energy","United States","Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri"
"319",317,"Guillaume Pousaz",7.2,41,"Switzerland","Fintech","Finance & Investments","Switzerland",NA
"320",317,"Takahisa Takahara",7.2,61,"Japan","Personal care goods","Fashion & Retail","Japan",NA
"321",317,"Zong Qinghou",7.2,77,"China","Beverages","Food & Beverage","China",NA
"322",325,"Judy Faulkner",7.1,79,"United States","Healthcare software","Technology","United States","Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin"
"323",325,"Johann Graf",7.1,76,"Austria","Gambling","Gambling & Casinos","Austria",NA
"324",325,"Tamara Gustavson",7.1,61,"United States","Self storage","Service","United States","Bachelor of Arts/Science, University of Southern California"
"325",325,"Liang Wengen",7.1,66,"China","Construction equipment","Manufacturing","China","Bachelor of Arts/Science, Central South University"
"326",325,"Frederik Paulsen",7.1,72,"Sweden","Health care","Healthcare","Sweden",NA
"327",325,"Wee Cho Yaw",7.1,94,"Singapore","Banking","Finance & Investments","Singapore",NA
"328",325,"Zhang Hejun",7.1,71,"China","Electronics","Manufacturing","China",NA
"329",332,"Marc Benioff",7,58,"United States","Business software","Technology","United States","Bachelor of Arts/Science, University of Southern California"
"330",332,"Dmitri Bukhman",7,37,"Israel","Online games","Media & Entertainment","Israel","Master of Science, Vologda State Pedagogical University"
"331",332,"Igor Bukhman",7,41,"Israel","Online games","Media & Entertainment","Israel","Master of Science, Vologda State Pedagogical University"
"332",332,"Jack Dangermond",7,77,"United States","Mapping software","Technology","United States","Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota"
"333",332,"Ashwin Dani & family",7,80,"India","Paints","Manufacturing","India","Master of Science, University of Akron; Bachelor of Arts/Science, University of Mumbai"
"334",332,"Ralph Lauren",7,83,"United States","Apparel","Fashion & Retail","United States","Drop Out, City University of New York City College; Diploma, High School"
"335",332,"Law Kar Po",7,74,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"336",332,"Rohiqa Cyrus Mistry",7,55,"India","Diversified","Diversified","India",NA
"337",332,"Shapoor Mistry",7,58,"Ireland","Diversified","Diversified","Ireland",NA
"338",332,"J. Christopher Reyes",7,69,"United States","Food distribution","Food & Beverage","United States","Bachelor of Arts/Science, University of Maryland"
"339",332,"Jude Reyes",7,67,"United States","Food distribution","Food & Beverage","United States","Bachelor of Arts/Science, Wofford College"
"340",332,"Don Vultaggio & family",7,71,"United States","Beverages","Food & Beverage","United States","High School Graduate, High School"
"341",344,"Alejandro Bailleres Gual & family",6.9,62,"Mexico","Diversified","Diversified","Mexico",NA
"342",344,"Edythe Broad & family",6.9,87,"United States","Homebuilding, insurance","Diversified","United States",NA
"343",344,"Pauline MacMillan Keinath",6.9,89,"United States","Cargill","Food & Beverage","United States",NA
"344",344,"Philippe Laffont",6.9,55,"United States","Hedge fund","Finance & Investments","United States","Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
"345",344,"Liu Jincheng & family",6.9,58,"China","Lithium batteries","Technology","China","Doctorate, South China University of Technology; Bachelor of Arts/Science, University of Electronic Science and Technology of China; Master of Science, Wuhan University"
"346",344,"Igor Olenicoff",6.9,80,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California"
"347",344,"Sandra Ortega Mera",6.9,54,"Spain","Zara","Fashion & Retail","Spain",NA
"348",344,"Ronda Stryker",6.9,68,"United States","Medical equipment","Healthcare","United States","Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University"
"349",352,"Dannine Avara",6.8,59,"United States","Pipelines","Energy","United States",NA
"350",352,"Silvio Berlusconi & family",6.8,86,"Italy","Media","Diversified","Italy","Doctor of Jurisprudence, University of Milan"
"351",352,"Denise Coates",6.8,55,"United Kingdom","Online gambling","Gambling & Casinos","United Kingdom",NA
"352",352,"Scott Duncan",6.8,40,"United States","Pipelines","Energy","United States","Houston Community College"
"353",352,"Milane Frantz",6.8,53,"United States","Pipelines","Energy","United States","Master of Arts, University of Houston"
"354",352,"Edward Johnson, IV.",6.8,58,"United States","Fidelity","Finance & Investments","United States","Bachelor of Arts/Science, Northeastern University"
"355",352,"Yuri Milner",6.8,61,"Israel","Tech investments","Finance & Investments","Israel","Master of Science, Moscow State University; Drop Out, University of Pennsylvania, The Wharton School"
"356",352,"Gordon Moore",6.8,94,"United States","Intel","Technology","United States","Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley"
"357",352,"John Overdeck",6.8,53,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
"358",352,"David Siegel",6.8,61,"United States","Hedge funds","Finance & Investments","United States","Ph.D, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University"
"359",352,"Viktor Vekselberg",6.8,65,"Russia","Metals, investments","Diversified","Russia","Master of Science, Moscow State University of Railway Engineering"
"360",352,"Wang Laisheng",6.8,58,"China","Electronics components","Technology","China",NA
"361",352,"Randa Duncan Williams",6.8,61,"United States","Pipelines","Energy","United States","Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston"
"362",365,"Ken Fisher",6.7,72,"United States","Money management","Finance & Investments","United States","Bachelor of Arts/Science, Humboldt State University"
"363",365,"Christopher Hohn",6.7,56,"United Kingdom","Hedge funds","Finance & Investments","United Kingdom","Master of Business Administration, Harvard Business School"
"364",365,"Kjeld Kirk Kristiansen",6.7,75,"Denmark","Lego","Manufacturing","Denmark","Bachelor of Arts/Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development"
"365",365,"Sofie Kirk Kristiansen",6.7,47,"Denmark","Lego","Manufacturing","Denmark",NA
"366",365,"Thomas Kirk Kristiansen",6.7,44,"Denmark","Lego","Manufacturing","Denmark",NA
"367",365,"Massimiliana Landini Aleotti & family",6.7,80,"Italy","Pharmaceuticals","Healthcare","Italy",NA
"368",365,"Li Ping",6.7,55,"Hong Kong","Batteries","Automotive","Hong Kong","EMBA, China Europe International Business School; Bachelor of Arts/Economics, Fudan University"
"369",365,"Lin Jianhua",6.7,60,"China","Solar panel components","Manufacturing","China",NA
"370",365,"Magdalena Martullo-Blocher",6.7,54,"Switzerland","Chemicals","Manufacturing","Switzerland",NA
"371",365,"Xavier Niel",6.7,55,"France","Internet, telecom","Telecom","France",NA
"372",365,"Terrence Pegula",6.7,72,"United States","Natural gas","Energy","United States","Bachelor of Science in Engineering, Pennsylvania State University"
"373",365,"Edward Roski, Jr.",6.7,84,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, University of Southern California"
"374",365,"John A. Sobrato & family",6.7,83,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, Santa Clara University"
"375",365,"George Soros",6.7,92,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, London School of Economics"
"376",365,"David Sun",6.7,71,"United States","Computer hardware","Technology","United States","Bachelor of Engineering, Tatung University"
"377",365,"Agnete Kirk Thinggaard",6.7,39,"Denmark","Lego","Manufacturing","Denmark",NA
"378",365,"John Tu",6.7,81,"United States","Computer hardware","Technology","United States","Bachelor of Arts/Science, Technische Universität Darmstadt"
"379",365,"Xu Shihui",6.7,65,"China","Snacks, beverages","Food & Beverage","China",NA
"380",383,"Rahel Blocher",6.6,47,"Switzerland","Chemicals","Manufacturing","Switzerland",NA
"381",383,"Bubba Cathy",6.6,68,"United States","Chick-fil-A","Food & Beverage","United States","Bachelor of Arts/Science, Samford University"
"382",383,"Dan Cathy",6.6,70,"United States","Chick-fil-A","Food & Beverage","United States","Bachelor of Arts/Science, Georgia Southern University"
"383",383,"Trudy Cathy White",6.6,67,"United States","Chick-fil-A","Food & Beverage","United States","Bachelor of Arts/Science, Samford University"
"384",383,"Bruce Kovner",6.6,78,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Harvard University"
"385",383,"Henry Nicholas, III.",6.6,63,"United States","Semiconductors","Technology","United States","Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
"386",383,"Nadia Thiele",6.6,47,"Germany","Investments","Finance & Investments","Germany",NA
"387",390,"David Bonderman",6.5,80,"United States","Private equity","Finance & Investments","United States","Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington"
"388",390,"Melinda French Gates",6.5,58,"United States","Microsoft","Technology","United States","Bachelor of Arts/Science, Duke University; Master of Business Administration, Fuqua School of Business"
"389",390,"Nathan Kirsh",6.5,91,"Eswatini (Swaziland)","Retail, real estate","Fashion & Retail","Eswatini (Swaziland)","Bachelor of Arts/Science, University of Witwatersrand"
"390",390,"Annette Lerner & family",6.5,93,"United States","Real estate","Real Estate","United States",NA
"391",390,"David Reuben",6.5,84,"United Kingdom","Investments, real estate","Real Estate","United Kingdom",NA
"392",390,"Simon Reuben",6.5,81,"United Kingdom","Real estate, investments","Diversified","United Kingdom","Drop Out, Sir John Cass College, London"
"393",390,"Radovan Vitek",6.5,51,"Czech Republic","Real estate","Real Estate","Czech Republic","Law Degree, University of West Bohemia"
"394",397,"Carl Bennet",6.4,71,"Sweden","Investments","Finance & Investments","Sweden","Master of Business Administration, University of Gothenburg"
"395",397,"Stephen Bisciotti",6.4,62,"United States","Staffing, Baltimore Ravens","Sports","United States","Bachelor of Arts/Science, Salisbury State University"
"396",397,"Stanley Druckenmiller",6.4,69,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Bowdoin College"
"397",397,"Jian Jun",6.4,59,"China","Biomedical products","Healthcare","China","Master of Business Administration, Tsinghua University"
"398",397,"Alexei Kuzmichev",6.4,60,"Russia","Oil, banking, telecom","Energy","Russia","Master of Science, Moscow Institute of Steel and Alloys"
"399",397,"Dmitry Rybolovlev & family",6.4,56,"Russia","Fertilizer","Manufacturing","Russia","Medical Doctor, Perm Medical Institute"
"400",397,"Luis Carlos Sarmiento",6.4,90,"Colombia","Banking","Finance & Investments","Colombia","Bachelor of Arts/Science, National University of Colombia"
"401",397,"Dennis Washington",6.4,88,"United States","Construction, mining","Logistics","United States","Diploma, High School"
"402",405,"Anthony Bamford & family",6.3,77,"United Kingdom","Construction equipment","Construction & Engineering","United Kingdom","Bachelor of Arts/Science, Grenoble University"
"403",405,"Gao Jifan & family",6.3,58,"China","Solar equipment","Energy","China","Master of Science, Jilin University; Bachelor of Science, Nanjing University"
"404",405,"John Grayken",6.3,66,"Ireland","Private equity","Finance & Investments","Ireland","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Pennsylvania"
"405",405,"Alain Merieux & family",6.3,85,"France","Pharmaceuticals","Healthcare","France",NA
"406",405,"Wang Yusuo & family",6.3,59,"China","Natural gas distribution","Energy","China","Bachelor of Arts/Science, People's University of China; Doctorate, Tianjin University"
"407",405,"Stef Wertheimer & family",6.3,96,"Israel","Metalworking tools","Manufacturing","Israel",NA
"408",411,"Maria Asuncion Aramburuzabala & family",6.2,59,"Mexico","Beer, investments","Food & Beverage","Mexico","Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México"
"409",411,"Gustaf Douglas",6.2,85,"Sweden","Investments","Diversified","Sweden","Master of Business Administration, Harvard University"
"410",411,"Frits Goldschmeding",6.2,89,"Netherlands","Temp agency","Service","Netherlands","Doctorate, Free University of Amsterdam"
"411",411,"Lin Muqin & family",6.2,59,"China","Beverages","Food & Beverage","China",NA
"412",411,"Ruan Liping",6.2,59,"Hong Kong","Power strips","Manufacturing","Hong Kong",NA
"413",411,"Ruan Xueping",6.2,51,"Hong Kong","Power strip","Manufacturing","Hong Kong",NA
"414",411,"Michal Solowow",6.2,60,"Poland","Investments","Finance & Investments","Poland",NA
"415",418,"Mike Adenuga",6.1,69,"Nigeria","Telecom, oil","Diversified","Nigeria","Master of Business Administration, Pace University"
"416",418,"Tom Gores",6.1,58,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Michigan State University"
"417",418,"Michael Herz",6.1,79,"Germany","Coffee","Fashion & Retail","Germany",NA
"418",418,"Wolfgang Herz",6.1,72,"Germany","Coffee","Fashion & Retail","Germany",NA
"419",418,"Michael Kadoorie",6.1,81,"Hong Kong","Hotels, energy","Energy","Hong Kong",NA
"420",418,"Sunil Mittal",6.1,65,"India","Telecom","Telecom","India",NA
"421",418,"Zhou Qunfei",6.1,53,"Hong Kong","Smartphone screens","Technology","Hong Kong",NA
"422",425,"Alexander Abramov",6,64,"Russia","Steel, mining","Metals & Mining","Russia","Ph.D, Moscow Institute of Physics and Technology"
"423",425,"Rene Benko",6,46,"Austria","Real estate, retail","Real Estate","Austria",NA
"424",425,"Neil Bluhm",6,85,"United States","Real estate","Real Estate","United States","Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
"425",425,"Alain Bouchard",6,74,"Canada","Convinience stores","Fashion & Retail","Canada",NA
"426",425,"Jay Chaudhry",6,63,"United States","Security software","Technology","United States","Bachelor of Technology, Indian Institute of Technology, BHU"
"427",425,"Gopikishan Damani",6,65,"India","Retail, investments","Fashion & Retail","India",NA
"428",425,"Sumet Jiaravanon",6,88,"Thailand","Diversified","Diversified","Thailand",NA
"429",425,"Joe Lewis",6,86,"United Kingdom","Investments","Finance & Investments","United Kingdom",NA
"430",425,"Frank Lowy",6,92,"Australia","Investments","Finance & Investments","Australia",NA
"431",425,"Michael Milken",6,76,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School"
"432",425,"David Steward",6,71,"United States","IT provider","Technology","United States","Bachelor of Arts/Science, Central Missouri State University"
"433",425,"Les Wexner & family",6,85,"United States","Retail","Fashion & Retail","United States","Bachelor of Arts/Science, Ohio State University"
"434",437,"Cai Kui",5.9,60,"China","Real estate","Real Estate","China","Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics"
"435",437,"Jaran Chiaravanont",5.9,93,"Thailand","Diversified","Diversified","Thailand",NA
"436",437,"Andreas Halvorsen",5.9,61,"Norway","Hedge funds","Finance & Investments","Norway","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College"
"437",437,"Antony Ressler",5.9,62,"United States","Finance","Finance & Investments","United States","Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University"
"438",437,"Tsai Eng-meng",5.9,66,"Taiwan","Food, beverages","Food & Beverage","Taiwan",NA
"439",442,"Josh Harris",5.8,58,"United States","Private equity","Finance & Investments","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"440",442,"Niels Peter Louis-Hansen",5.8,75,"Denmark","Medical devices","Healthcare","Denmark",NA
"441",442,"Patrick Soon-Shiong",5.8,70,"United States","Pharmaceuticals","Healthcare","United States","Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand"
"442",445,"Rinat Akhmetov",5.7,56,"Ukraine","Steel, coal","Metals & Mining","Ukraine","Bachelor of Arts/Science, Donetsk National University"
"443",445,"John Brown",5.7,88,"United States","Medical equipment","Healthcare","United States","Bachelor of Science in Engineering, Auburn University"
"444",445,"Clive Calder",5.7,76,"United Kingdom","Record label","Media & Entertainment","United Kingdom",NA
"445",445,"Arthur Irving",5.7,93,"Canada","Oil","Energy","Canada",NA
"446",445,"Fredrik Lundberg",5.7,71,"Sweden","Real estate, investments","Real Estate","Sweden","Bachelor of Arts/Science, Stockholm School of Economics"
